Event Type,Description,Release Date,Tags
"access.request.cancel","Access request canceled. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request cancellation. Okta Identity Governance API can be used to get more details about the canceled request.","2023.06.0","access","event-hook-eligible"
"access.request.condition.activate","Access request condition activated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition activation. Okta Identity Governance API can be used to get more details about the activated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.create","Access request condition created. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition creation. Okta Identity Governance API can be used to get more details about the created access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.deactivate","Access request condition deactivated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deactivation. Okta Identity Governance API can be used to get more details about the deactivated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.delete","Access request condition deleted. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deletion. Okta Identity Governance API can be used to get more details about the deleted access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.invalidate","Access request condition invalidated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition invalidation. Okta Identity Governance API can be used to get more details about the invalidated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.update","Access request condition updated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition update. Okta Identity Governance API can be used to get more details about the updated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.create","Access request created. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request creation. Okta Identity Governance API can be used to get more details about the created request.","2022.11.0","access","event-hook-eligible"
"access.request.reject","Access request rejected. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request rejection. Okta Identity Governance API can be used to get more details about the rejected request.","2024.05.0","access","event-hook-eligible"
"access.request.resolve","Access request resolved. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request resolution. Okta Identity Governance API can be used to get more details about the resolved request.","2022.11.0","access","event-hook-eligible"
"account.org.add","Org is added to an Aerial account. Triggered when an org is added to an Aerial account. This event is fired in both the Aerial org and the added target org.","2023.10.1","account-service"
"account.org.delete.cancel","Org deletion request is cancelled. Triggered when the deletion request is cancelled. This event is fired in the Aerial org. The recovered org will be in the target.","2024.02.2","account-service"
"account.org.delete.request","Org is requested to be deleted. Triggered when a org is requested to be deleted. This event is fired in the Aerial org. The user or API client who requested the delete will be the actor and the org to be deleted will be in the target.","2024.02.2","account-service"
"account.org.product.update","Products are updated on an org. Triggered when Products are updated on an org. This event is fired only in the Aerial org.","2023.10.1","account-service"
"account.org.status.update","Org status is updated. Triggered when the status of an org is updated. This event is fired only in the Aerial org.","2023.10.1","account-service"
"analytics.feedback.provide","An admin has provided feedback on a detection Okta provided which indicated a change in user or session risk. This can be used to monitor feedback provided by admins in response to Okta determined changes in risk. This event is fired when an admin chooses to provide feedback on a detection event in the admin console.","2023.10.0","risk","security"
"analytics.reports.export.download","A user has downloaded an export file that Okta has generated for a report available in the admin console. This event may be used to identify access by a user to a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user has downloaded the export file. The user that downloaded it may not be the user that requested generation of the export file. See analytics.reports.export.request and analytics.reports.export.generate for related actions.","2022.05.1"
"analytics.reports.export.generate","Okta has generated an export file for a report available in the admin console. This event may be used to identify whether Okta successfully generated the export file that a user requested for a report. This event is primarily useful for troubleshooting if a report fails to generate. This event does not indicate whether a user downloaded the report file. See analytics.reports.export.request and analytics.reports.export.download for related actions.","2022.05.1"
"analytics.reports.export.request","A user has requested that Okta generate an export file for a report available in the admin console. This event may be used to identify a request by a user to export a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user requested the export. It does not indicate that an export file was successfully generated by Okta nor that the export file was accessed by a user. See analytics.reports.export.generate and analytics.reports.export.download for those actions.","2022.05.1"
"app.access_request.approver.approve","Request to access an app was approved by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.approver.deny","Request to access an app was denied by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.delete","Request to access an app was deleted by an administrator.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.deny","Request to access an app was denied after at least one approver denied the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.expire","Request to access an app expired by the system due to lack of approver action.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.grant","Request to access an app was granted after all approvers approved the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.request","Request to access an app was performed by a user.","2017.43","app-instance-request","event-hook-eligible"
"app.ad.api.user_import.account_locked","Active Directory user account set to locked following profile update: user is locked in active directory.","2016.10","ad-app"
"app.ad.api.user_import.warn.skipped_contact.attribute_invalid_value","Skipping import of contact due to invalid attribute. Please consult with your Active Directory admin if you believe this contact should be imported.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.attribute_invalid_value","Skipping import of user due to an invalid AD attribute.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.missing_required_attribute","Skipping import of user due to a required AD attribute being null.","2011.01","ad-app"
"app.app_instance.csr.generate","Certificate signing request (CSR) generated.","2017.15","app"
"app.app_instance.csr.publish","Certificate signing request (CSR) published.","2017.15","app"
"app.app_instance.csr.revoke","Certificate signing request (CSR) revoked.","2017.15","app"
"app.app_instance.provision_sync_job.completed","Fired when a provision sync job has successfully completed. This can be used to confirm that a provision sync job has finished running and is no longer processing users. When fired, this event contains details about number of users processed in the job. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.failed","Fired when a provision sync job has failed. This can be used to identify when a provision sync job has failed. When fired, this event contains information about the reason the provision sync job failed. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.completed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.started","Fired when a provision sync job has successfully started. This can be used to confirm that a provision sync job has successfully started. Related events include app.app_instance.provision_sync_job.completed and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"app.office365.api.error.revoke.refresh.token","Failed to revoke refresh tokens for user.","2017.01","app","office365-app"
"app.office365.api.error.set.company.dirsync.failure","Unable to enable Office 365 directory sync for the company, received error.","2017.01","app","office365-app"
"app.office365.api.error.set.company.dirsync.status.failure","Unable to enable Office 365 directory sync for the company, because 'Directory Sync' value in Azure Active Directory is unsupported. Please visit the Azure Active Directory portal and set 'Directory Sync' state to Activated.","2017.01","app","office365-app"
"app.office365.api.error.set.domain.federation.failure","Unable to setup the domain federation, received error.","2017.01","app","office365-app"
"app.office365.api.error.set.domain.federation.failure.access.denied","Unable to setup the domain federation because the admin user is not authorized to perform the task.","2017.01","app","office365-app"
"app.office365.api.error.set.domain.federation.failure.domain.default","Unable to setup the domain federation because the specified domain is the default domain.","2017.01","app","office365-app"
"app.office365.api.error.set.domain.federation.failure.domain.not.found","Unable to setup the domain federation because the specified domain was not found.","2017.01","app","office365-app"
"app.office365.api.error.sync.contact","Failed to sync contact, received error.","2017.01","app","office365-app"
"app.office365.api.error.sync.finalize","Failed to finalize export to Office 365, received error.","2017.01","app","office365-app"
"app.office365.api.error.sync.group","Failed to sync group, received error.","2017.01","app","office365-app"
"app.office365.api.error.sync.not.activated","Sync could not execute because Office 365 directory sync for the company not yet Activated. Sync will retry after a period of time.","2017.01","app","office365-app"
"app.office365.api.error.sync.set.attribute","Failed to set attribute, received error.","2017.01","app","office365-app"
"app.office365.api.error.sync.user","Failed to sync user, received error.","2017.01","app","office365-app"
"app.office365.api.error.unable.to.create.graph.client","An error occurred while creating the Azure Active Directory Graph API client. Please try the last operation again. If this error persists, please contact Okta support.","2017.01","app","office365-app"
"app.office365.api.error.validate.admin.creds","User does not have the Company Administrator role. Please try again with a user which has this role.","2017.01","app","office365-app"
"app.office365.api.error.validate.creds","Could not validate your Office 365 credentials, received error.","2017.01","app","office365-app"
"app.office365.api.error.validate.creds.unknown.exception","Could not communicate with Office 365 to validate your credentials, received error.","2017.01","app","office365-app"
"app.office365.api.error.x-ms-forwarded-client-ip-header.absent","X-MS-Forwarded-Client-IP header either empty or not found in the request.","2017.01","app","office365-app"
"app.office365.api.remove.domain.federation.success","Successfully removed the domain federation.","2017.01","app","office365-app"
"app.office365.api.set.domain.federation.success","Successfully set up the domain federation with new settings.","2017.01","app","office365-app"
"app.office365.api.sync.complete","User sync completed.","2017.01","app","office365-app"
"app.office365.api.sync.heartbeat.sent","Heartbeat sent to Microsoft Azure Active Directory.","2017.01","app","office365-app"
"app.office365.api.sync.job.complete","Sync job completed.","2017.01","app","office365-app"
"app.office365.api.sync.job.complete.contact","Sync job completed.","2017.01","app","office365-app"
"app.office365.api.sync.job.complete.group","Sync job completed.","2017.01","app","office365-app"
"app.office365.api.sync.job.complete.user","Sync job completed.","2017.01","app","office365-app"
"app.office365.clientplatform.conversion.job.processing.app.instance","Begin processing client access conversion for app instance.","2017.01","app","office365-app"
"app.office365.clientplatform.conversion.job.skipping.migration","Skipping migration of client access rules for app instance.","2017.01","app","office365-app"
"app.office365.dirsync.skipping.conflict-object","Skipping sync of conflict object.","2017.01","app","office365-app"
"app.office365.dirsync.skipping.critical-system-object","Skipping sync of critical system object.","2017.01","app","office365-app"
"app.office365.dirsync.skipping.non-security-group-invalid-mail","Skipping sync of non security object with invalid mail.","2017.01","app","office365-app"
"app.office365.dirsync.skipping.reserved-attribute-value","Skipping sync of object with reserved attribute value.","2017.01","app","office365-app"
"app.office365.dirsync.skipping.systemmailbox","Skipping sync of system mailbox object.","2017.01","app","office365-app"
"app.office365.dirsync.skipping.without-name-and-displayname","Skipping sync of non security object without name and display name.","2017.01","app","office365-app"
"app.office365.error.importing.user","An error occurred while importing user.","2017.01","app","office365-app"
"app.office365.graph.api.error.no.mailbox.found","No MailBox found for Office 365 user.","2017.01","app","office365-app"
"app.office365.graph.api.error.rate-limit.exceeded","Rate limit exceeded for Microsoft Graph.","2017.01","app","office365-app"
"app.office365.graph.api.error.service.principal.creation.failed","Failure while trying to create service principal.","2017.01","office365-app"
"app.office365.graph.api.error.service.principal.msgraph.authentication.failure","Failure while trying to create service principal due to a Mircrosoft Graph authentication issue.","2017.01","office365-app"
"app.office365.service.principal.cleanup.job.complete","End processing Office 365 service principal cleanup.","2017.01","app","office365-app"
"app.office365.service.principal.cleanup.job.invalid.credentials","The admin username or password is invalid. Please use the Azure Active Directory cmdlets to execute the command 'Remove-MsolServicePrincipal -AppPrincipalId' to manually cleanup the service principal.","2017.01","app","office365-app"
"app.office365.service.principal.cleanup.job.processing","Begin performing Office 365 service principal cleanup.","2017.01","app","office365-app"
"app.office365.service.principal.cleanup.job.skipping.missing.creds","Skipping app instance during Office 365 service principal cleanup as it does not contain Office 365 admin user credentials. Please use the Azure Active Directory cmdlets to execute the command 'Remove-MsolServicePrincipal -AppPrincipalId' to manually cleanup the service principal.","2017.01","app","office365-app"
"app.office365.service.principal.cleanup.job.skipping.no.service.principal","Skipping app instance during Office 365 service principal cleanup as it does not have a service principal.","2017.01","app","office365-app"
"app.office365.service.principal.cleanup.job.unable.to.delete.service.principal","Unable to automatically delete the Office 365 service principal. Please use the Azure Active Directory cmdlets to execute the command 'Remove-MsolServicePrincipal -AppPrincipalId' to manually cleanup the service principal.","2017.01","app","office365-app"
"app.office365.user.delete.success","Successfully deleted the Office 365 user.","2017.01","app","office365-app"
"app.office365.user.lifecycle.action.failed","Unable to complete app user lifecycle action for AppUser.","2017.01","app","office365-app"
"app.office365.user.remove.licenses.success","Successfully removed all the licenses for the Office 365 user.","2017.01","app","office365-app"
"app.policy.sign_on.update","Update app sign on policy. This event is used to audit when an app sign on policy is updated. This event is fired when an admin updates an app's sign on policy and logs what was changed.","2022.08.0","policy"
"app.radius.agent.listener.failed","Radius agent listener failed.","2018.13","app","radius"
"app.radius.agent.listener.succeeded","Radius agent listener succeeded.","2018.13","app","radius"
"app.radius.agent.port_inaccessible","Radius agent failed to listen on port.","2018.13","app","radius"
"app.radius.agent.port_reaccessible","Radius agent was able to listen on port again.","2018.13","app","radius"
"app.radius.info_access.no_permission","No permission accessing any Radius app info. This event can be used to monitor and notify admins when some users who access radius app info have no permission. Fired when users who access radius app info have no permission.","2020.08.0","app","radius"
"app.radius.info_access.partial_permission","No permission accessing info for part of Radius apps. This event can be used to monitor and notify admins when some users who access radius app info have only partial permission. Fired when users who access radius app info have partial permission.","2020.08.0","app","radius"
"app.realtimesync.import.details.add_user","Real time sync added new User.","2014.25","app"
"app.realtimesync.import.details.delete_user","Real time sync removed existing User.","2014.25","app"
"app.realtimesync.import.details.update_user","Fired when a real time import includes an update to an existing user. This can be used to see details about the user updates included in a real time sync import. When fired, this event contains information about the type of update made, including whether or not a user was suspend or unsuspended. Related events include: app.realtimesync.import.details_add_user and app.realtimesync.import.details_delete_user.","2014.25","app"
"app.rum.config.validation.error","Error validating instance configuration. Can be used to identify configuration issues with remote user management.","2018.42","rum"
"app.rum.is.api.account.error","RUM API account is not configured or empty. Can be used to identify RUM API account configuration issues.","2018.42","rum"
"app.rum.package.thrown.error","Errors during execution. Can be used to identify any errors during execution of remote user management.","2018.42","rum"
"app.rum.validation.error","Error during package validation. Can be used to identify validation issues with remote user management packages.","2018.42","rum"
"app.saml.sensitive.attribute.update","Fired when a SAML assertion contains a sensitive attribute, and that sensitive attribute has been updated (modified/added/deleted). This event does not fire when non-sensitive SAML attributes are updated. This can be used to audit that a sensitive attribute attached to an outbound SAML assertion has been correctly modified, added, or deleted. When fired, this event contains the specific attributes that have been modified, added, or deleted to/from the SAML assertion. Related events include: application.lifecycle.update.","2019.01.1","app","cvd"
"app.user_management","Imported new or deleted existing member of an application group.","2016.04","app-user-management"
"app.user_management.grouppush.mapping.created.from.rule","A Group Push mapping to the group has been created from the rule.","2017.51","app"
"app.user_management.grouppush.mapping.created.from.rule.error.duplicate","A Group Push mapping to the group did not get created from rule because an existing mapping already existed.","2017.51","app"
"app.user_management.grouppush.mapping.created.from.rule.error.validation","A Group Push mapping to the group did not get created from rule because of the validation error.","2017.51","app"
"app.user_management.grouppush.mapping.created.from.rule.errors","A Group Push mapping to the group did not get created from rule.","2017.51","app"
"app.user_management.grouppush.mapping.okta.users.ignored","Okta users ignored while pushing group to AppInstance.","2018.03","app","app-user-management"
"app.user_management.import.csv.line.error","Error reading line from CSV.","2017.51","app"
"app.user_management.push_new_user_success","Successfully pushed new user account to app.","2017.51","app"
"app.user_management.update_from_master_failed","Could not apply import.","2017.51","app"
"app.user_management.user_group_import.create_failure","Failed to create group from app.","2018.03","app","app-user-management"
"app.user_management.user_group_import.delete_success","Deleted the group from app.","2018.03","app","app-user-management"
"app.user_management.user_group_import.update_failure","Failed to update group from app.","2018.03","app","app-user-management"
"app.user_management.user_group_import.upsert_fail","Failed to import the group from app. This event helps identify when a group is failed to be imported. Fired when we skip processing an import of a group.","2020.07.1","app","app-user-management"
"app.user_management.user_group_import.upsert_success","Imported the group from app.","2018.03","app","app-user-management"
"application.appuser.mapping.invalid.expression","App user property mapping has invalid expressions. Can be used to identify invalid expressions. Note that a single event is fired for all invalid expressions.","2018.47","app"
"application.cache.invalidate","Event fired when a app list cache is invalidated because a new app is created. Can be used to make sure App List cache is invalidated after a new app is created.","2018.42","invalidate-app-list-cache"
"application.configuration.detect_error","Application configuration error detected.","2016.13","app"
"application.configuration.disable_delauth_outbound","Disable delegated authentication for app.","2016.13","app"
"application.configuration.disable_fed_broker_mode","Disable Federation Broker Mode for app.","2017.24","app"
"application.configuration.enable_delauth_outbound","Enable delegated authentication for app.","2016.13","app"
"application.configuration.enable_fed_broker_mode","Enable Federation Broker Mode for app.","2017.24","app"
"application.configuration.import_schema","Okta couldn't download application configuration. Can be used to identify when an app schema couldn't be downloaded from a remote application. Event fired when Okta couldn't download application-specific data from a remote app. This may happen when admin updates provisioning details.","2017.33","app-api"
"application.configuration.read_client_secret","A client secret in an MFA-only app has been read. Verify that a client secret in an MFA-only app has been read. This events indicates that a client secret in an MFA-only app has been read.","2024.03.2","agent","app"
"application.configuration.reset_logo","Reset app logo.","2016.13","app"
"application.configuration.update","Okta couldn't verify api credentials. Can be used when Okta couldn't check the credentials by execution some custom, application dependent, set of requests. Okta fires this event to notify issues with credentials validation. Could be issues with proper permissions as well.","2017.33","app-api"
"application.configuration.update_api_credentials_for_pass_change","Update API credentials due to user updating password.","2016.13","app"
"application.configuration.update_logo","Change app logo.","2016.13","app"
"application.configuration.update_rate_limits","Update rate limits for an OAuth App. This can be used to track the updates to rate limits for an OAuth application. When fired,  this event contains details about the actor, who triggered the event,  the OAuth app,  for which the rate limit was updated, etc.  Actual value change details can be found in debug data such as the old and new values.","2023.01.0","app"
"application.integration.api_query","Unable to query remote API. Can be used to determine when okta fails to query remote application. Okta fires this event for unspecified events which include remote api response processing.","2017.33","app-api"
"application.integration.authentication_failure","Error authenticating. Can be used when Okta couldn't authenticate with the provided credentials to a remote api. Okta fires this event when it couldn't access a remote api with provided credentials.","2017.33","app-api"
"application.integration.general_failure","Generic error occured. Can be used when there is some uncategorized error occurs. Okta fires this event for different unhandled exceptions.","2017.33","app-api"
"application.integration.rate_limit_exceeded","API rate limit exceeded. Can be used when Okta reaches api calls/minute rate limit. Okta fires this event when there are too many requests for a specific customer.","2017.33","app-api"
"application.integration.transfer_files","Unable to transfer files. Can be used when Okta fails to transfer files from one user to another. Okta fires this event when it fails to process user-to-user file transfers.","2017.33","app-api"
"application.lifecycle.activate","Activate application.","2016.13","app","event-hook-eligible"
"application.lifecycle.create","Create application.","2016.13","app","event-hook-eligible"
"application.lifecycle.deactivate","Deactivate application.","2016.13","app","event-hook-eligible"
"application.lifecycle.delete","Delete application.","2016.13","app","event-hook-eligible"
"application.lifecycle.update","Update application.","2016.13","app","event-hook-eligible"
"application.policy.sign_on.deny_access","Deny user access due to app sign on policy. When fired due to app assurance being evaluated as unsatisfiable (the policy requirements could not be satisfied by the users' current set of available authenticator enrollments), this event contains information about the user and the app that the user is trying to authenticate into.","2016.13","app","event-hook-eligible"
"application.policy.sign_on.rule.create","Create rule for app sign on policy.","2016.13","app"
"application.policy.sign_on.rule.delete","Delete rule from app sign on policy.","2016.13","app"
"application.policy.sign_on.update","Update app sign on policy.","2016.13","app"
"application.provision.field_mapping_rule.change","Event fired when field mapping rules modified. Can be used to make sure when custom mapping rules are modified.","2018.42","field-mapping-rule-modification"
"application.provision.group.add","Fired when Okta provisions a new group on a remote application. Can be used to identify when Okta provisions a group on a remote application. Event fired when the group provisioning failed for any reason.","2017.33","app-api"
"application.provision.group.import","Fired when Okta downloads a remote group. Can be used to identify when Okta tries to download remote group details. Event fired when Okta fails to reach the group detail from a remote application.","2017.33","app-api"
"application.provision.group.remove","Fired when Okta removes a remote group. Can be used to identify when a group has been unassigned. Event fired when Okta failed to delete group from remote application.","2017.33","app-api"
"application.provision.group.update","Fired when Okta updates the user group. Can be used to identify when a group has been updated. Event fired when Okta fails to update a remote group for any reason.","2017.33","app-api"
"application.provision.group.verify_exists","Fired when group no longer exists on a remote application. Can be used to identify when a group no longer exists on a remote application. Event fired when group push enhancement enabled and there is no group found on update or delete.","2017.33","app-api"
"application.provision.group_membership.add","Failed to assign a user to a group. Can be used when Okta failed to assign user to a group on remote application. Okta fires this event if there are any issues while provision a membership to a remote application.","2017.33","app-api"
"application.provision.group_membership.import","Error while downloading memberships. Can be used when Okta failed to download users and groups relationships. Okta fires this event if there are any issues while importing a membership from a remote application.","2017.33","app-api"
"application.provision.group_membership.remove","Fired when there is an error while removing user(s) from group. Can be used when Okta failed to unassign user from a group on remote application. Okta fires this event when there are any issues while provision a membership to a remote application.","2017.33","app-api"
"application.provision.group_membership.update","Fired when there is an error while updating user group membership for group. Can be used when Okta failed to push updated memberships to a remote application. Okta fires this event when couldn't update memberships on a remote application. Could be user removal/addition.","2017.33","app-api"
"application.provision.group_push.activate_mapping","Group push activated mappings.","2017.29","app"
"application.provision.group_push.delete_appgroup","Group push deleted application group.","2017.29","app"
"application.provision.group_push.mapping.and.groups.deleted.rule.deleted","An existing mapping and its target groups have been deleted because a mapping rule was deleted.","2017.29","app"
"application.provision.group_push.mapping.app.group.renamed","A mapped app group has been renamed because the source group was renamed.","2017.29","app"
"application.provision.group_push.mapping.app.group.renamed.failed","A mapped app group couldn't be renamed when the source group was renamed.","2017.29","app"
"application.provision.group_push.mapping.created","A new mapping has been created.","2017.29","app"
"application.provision.group_push.mapping.created.from.rule.warning.duplicate.name","A new mapping from a rule was not created due to a duplicate group name.","2017.29","app"
"application.provision.group_push.mapping.created.from.rule.warning.duplicate.name.tobecreated","A new mapping from a rule was not created due to another mapping will be created that has the same user group name.","2017.29","app"
"application.provision.group_push.mapping.created.from.rule.warning.upsertGroup.duplicate.name","An upsert to a group caused group push rule re-evaluation. A new mapping from a rule was not created due to a duplicate group name.","2017.29","app"
"application.provision.group_push.mapping.deactivated.source.group.renamed","An existing mapping has been deactivated because the source group was renamed.","2017.29","app"
"application.provision.group_push.mapping.deactivated.source.group.renamed.failed","An existing mapping couldn't be deactivated when the source group was renamed.","2017.29","app"
"application.provision.group_push.mapping.update.or.delete.failed","Group push mapping change failed and will be retried. Can be used to identify transient errors that may temporarily impact the group push mapping but likely do not require admin intervention. This event typically requires no action as the corresponding operation will be retried. Refer to application.provision.group_push.mapping.update.or.delete.failed for events that may require intervention.","2017.29","app"
"application.provision.group_push.mapping.update.or.delete.failed.with.error","Group push mapping change failed and cannot be retried. Can be used to identify group push mapping errors which may require admin intervention to address. Unlike the similarly named event, application.provision.group_push.mapping.update.or.delete.failed, when this event is fired the corresponding action that triggered it will not be retried by Okta and may indicate a configuration problem. For example, invalid authorization credentials with the target application due to an expired password or invalid access token.","2017.29","app","event-hook-eligible"
"application.provision.group_push.push_memberships","Group push pushed memberships.","2017.29","app"
"application.provision.group_push.pushed","A group was pushed to an app.","2017.29","app"
"application.provision.group_push.removed","A group was removed from an app.","2017.29","app"
"application.provision.group_push.updated","A group was updated in an app.","2017.29","app"
"application.provision.integration.call_api","Application integration API called.","2016.15","app-api"
"application.provision.user.activate","Activate user's application membership.","2016.14","app-api"
"application.provision.user.deactivate","Push user deactivation to external application.","2016.14","app-api"
"application.provision.user.deprovision","Deprovision user from external application.","2016.14","app"
"application.provision.user.import","Deactivate user from external application.","2017.33","app-api"
"application.provision.user.import_profile","Import profile from external application.","2017.33","app-api"
"application.provision.user.password","Issue pushing user password to external application.","2017.33","app-api"
"application.provision.user.push","Push new user to external application.","2016.14","app-api"
